Episode,Score,AvgScore
1,0.0000,0.0000
2,0.0000,0.0000
3,0.0000,0.0000
4,0.0000,0.0000
5,0.0000,0.0000
6,1.0000,0.1667
7,0.0000,0.1429
8,0.0000,0.1250
9,0.0000,0.1111
10,0.0000,0.1000
11,0.0000,0.0909
12,0.0000,0.0833
13,0.0000,0.0769
14,0.0000,0.0714
15,0.0000,0.0667
16,0.0000,0.0625
17,0.0000,0.0588
18,0.0000,0.0556
19,0.0000,0.0526
20,0.0000,0.0500
21,0.0000,0.0476
22,0.0000,0.0455
23,0.0000,0.0435
24,0.0000,0.0417
25,0.0000,0.0400
26,0.0000,0.0385
27,0.0000,0.0370
28,0.0000,0.0357
29,0.0000,0.0345
30,0.0000,0.0333
31,0.0000,0.0323
32,0.0000,0.0312
33,0.0000,0.0303
34,0.0000,0.0294
35,1.0000,0.0571
36,0.0000,0.0556
37,0.0000,0.0541
38,0.0000,0.0526
39,0.0000,0.0513
40,0.0000,0.0500
41,0.0000,0.0488
42,0.0000,0.0476
43,0.0000,0.0465
44,0.0000,0.0455
45,0.0000,0.0444
46,0.0000,0.0435
47,0.0000,0.0426
48,0.0000,0.0417
49,0.0000,0.0408
50,0.0000,0.0400
51,0.0000,0.0392
52,0.0000,0.0385
53,0.0000,0.0377
54,0.0000,0.0370
55,0.0000,0.0364
56,0.0000,0.0357
57,0.0000,0.0351
58,0.0000,0.0345
59,0.0000,0.0339
60,0.0000,0.0333
61,0.0000,0.0328
62,0.0000,0.0323
63,0.0000,0.0317
64,0.0000,0.0312
65,0.0000,0.0308
66,0.0000,0.0303
67,0.0000,0.0299
68,0.0000,0.0294
69,0.0000,0.0290
70,0.0000,0.0286
71,0.0000,0.0282
72,0.0000,0.0278
73,0.0000,0.0274
74,0.0000,0.0270
75,0.0000,0.0267
76,0.0000,0.0263
77,0.0000,0.0260
78,0.0000,0.0256
79,0.0000,0.0253
80,0.0000,0.0250
81,0.0000,0.0247
82,1.0000,0.0366
83,0.0000,0.0361
84,0.0000,0.0357
85,0.0000,0.0353
86,0.0000,0.0349
87,0.0000,0.0345
88,0.0000,0.0341
89,0.0000,0.0337
90,0.0000,0.0333
91,0.0000,0.0330
92,0.0000,0.0326
93,0.0000,0.0323
94,0.0000,0.0319
95,0.0000,0.0316
96,0.0000,0.0312
97,0.0000,0.0309
98,0.0000,0.0306
99,0.0000,0.0303
100,0.0000,0.0300
101,0.0000,0.0297
102,0.0000,0.0294
103,0.0000,0.0291
104,0.0000,0.0288
105,0.0000,0.0286
106,0.0000,0.0283
107,0.0000,0.0280
108,0.0000,0.0278
109,0.0000,0.0275
110,0.0000,0.0273
111,0.0000,0.0270
112,0.0000,0.0268
113,0.0000,0.0265
114,0.0000,0.0263
115,0.0000,0.0261
116,0.0000,0.0259
117,0.0000,0.0256
118,0.0000,0.0254
119,0.0000,0.0252
120,0.0000,0.0250
121,0.0000,0.0248
122,0.0000,0.0246
123,0.0000,0.0244
124,0.0000,0.0242
125,0.0000,0.0240
126,1.0000,0.0317
127,0.0000,0.0315
128,0.0000,0.0312
129,0.0000,0.0310
130,0.0000,0.0308
131,0.0000,0.0305
132,0.0000,0.0303
133,0.0000,0.0301
134,0.0000,0.0299
135,0.0000,0.0296
